cluster,entropy,speed,change,cvi,step,t_ms
0.088,13.8232475818362,0.14029282452118774,0.0,0.0,1,2042.0
0.08,13.826501258203937,0.13482493606691304,3.210581498452472,1.0,2,3146.1999999999534
0.096,13.798961966717087,0.13354651976522378,2.731156872226147,0.7173228271886599,3,4147.79999999993
0.092,13.785153913793128,0.13065420564543817,2.5764240198456023,0.25806608226307215,4,5144.599999999977
0.1,13.78242418787455,0.1271101983259689,2.8124192076895382,0.24571986484757105,5,6133.0
0.116,13.773399925132061,0.12568020611488145,2.610163070106357,0.2449270687828079,6,7149.5
0.108,13.752928171798244,0.12099321679367836,2.4976329538061623,0.21622482957960695,7,8131.599999999977
0.108,13.747944668218324,0.12261507132303852,2.3899715410260005,0.055251465164142505,8,9197.899999999907
0.116,13.739118091398066,0.1277117746104722,2.0342989000663967,0.1881476974243935,9,10178.099999999977
0.132,13.727000249154203,0.1361949257748452,2.3763363946456706,0.2802055479202814,10,11147.399999999907
0.116,13.710414666853229,0.1354982556342747,2.853592422223719,0.18606938011584762,11,12147.899999999907
0.124,13.711361821771598,0.12722381733892066,2.7166037697438123,0.228785045241412,12,13112.0
0.136,13.731700416508858,0.12459745026563449,2.7808651343037427,0.1545425084761645,13,14126.79999999993
0.152,13.728109575708599,0.1308682347696647,2.8894209540196902,0.1981503840513539,14,15020.699999999953
0.152,13.706539120391323,0.12883687871809632,4.15102386043557,0.1842423806835912,15,16020.399999999907
0.18,13.688631227173381,0.14243424433119659,4.298699144351576,0.3530685260162999,16,17030.199999999953
0.212,13.68956645802854,0.1460642274127403,4.668994524634079,0.14668767853532497,17,18040.699999999953
0.208,13.708733407773197,0.15315302921905233,4.935082904023858,0.1339209786683505,18,19031.0
0.228,13.663013217753093,0.15733091235115015,5.152239456215765,0.16693086501747773,19,20025.29999999993
0.244,13.6783695293122,0.15436994855665612,5.146580072971528,0.07902816409987905,20,21035.699999999953
0.236,13.680050920381234,0.15127018167838313,4.781485019365111,0.06079370221642357,21,22121.699999999953
0.24,13.66620458339344,0.14531702552640807,3.0253043642227726,0.1941595085743754,22,23131.399999999907
0.24,13.670226081184056,0.1437482898278677,2.8154173664296804,0.032125969505879905,23,24129.399999999907
0.252,13.672997789886155,0.14532677141977385,3.032716818200931,0.04695923498816073,24,25149.29999999993
0.268,13.676519460490494,0.15371812755214367,2.887346158447814,0.12432868389779586,25,26140.599999999977
0.26,13.649394294313932,0.15460012957812283,3.255912635191676,0.0879975350360996,26,27119.899999999907
0.256,13.629380061676823,0.1534030377127049,3.2817308078997116,0.05447924897720548,27,28139.5
0.26,13.62991728151337,0.14383335903378408,2.8630264452414957,0.13822057408161903,28,29134.5
0.256,13.625066573042568,0.1395151619927854,3.402010173444393,0.08077431012639802,29,30026.699999999953
0.252,13.657394167146148,0.1430831926126927,4.392138415802956,0.13488987524667886,30,31013.899999999907
0.24,13.668111505301209,0.1444438645075963,4.378768994230714,0.045590274142294634,31,32015.099999999977
0.232,13.69206570275285,0.13951734356135306,4.435326707422477,0.09280842449112255,32,33025.5
0.26,13.675940152226673,0.14213518397686756,4.360724926164482,0.09218222540952872,33,34022.59999999998
0.252,13.62495016389337,0.14139753088163703,4.463958618928391,0.1290612333378632,34,35018.19999999995
0.248,13.63826253799058,0.13522333988774698,4.549543190661333,0.09214266312271585,35,36010.29999999993
0.232,13.66284730423908,0.1421628220160615,4.662976436083282,0.12152850303969068,36,37026.79999999993
0.244,13.670228013417605,0.13853816963210525,4.654474970109789,0.061983542429438265,37,38037.0
0.288,13.646146568177356,0.14468534930080668,4.283372878187808,0.1523400180759211,38,39034.09999999998
0.292,13.591510272702028,0.15524445853255928,4.122235984897904,0.18696958815617384,39,40137.5
0.316,13.578992619895637,0.1690716815221399,3.195591255657093,0.17885659254732278,40,41130.79999999993
0.316,13.617585217252195,0.1667267075001849,3.4270928529391127,0.08472037523849692,41,42134.09999999998
0.296,13.626383435857665,0.15125651697485945,3.216572657969689,0.1685605832879422,42,43128.39999999991
0.264,13.643112294855957,0.1503314456905482,3.005569361498349,0.07905885454855271,43,44150.0
0.252,13.659840100389381,0.14495998751339123,2.956411806644312,0.07022493037715545,44,45115.89999999991
0.248,13.660168271218025,0.13824096447369064,2.831825231267552,0.07142155209787351,45,46152.59999999998
0.256,13.635715561495735,0.1441927933553866,2.53599936579844,0.0859233669729775,46,47117.69999999995
0.268,13.612805775869026,0.14297353108499455,2.704516327723005,0.05671421688130497,47,48135.39999999991
0.268,13.597292289678316,0.14399156560843382,2.70675057727512,0.03308000675812195,48,49131.59999999998
0.256,13.594068571149583,0.14275626503202016,2.7469909985459653,0.029479902824106723,49,50135.39999999991
0.272,13.59733610292622,0.14365774804572903,2.749175986566538,0.03578552942130743,50,51130.69999999995
0.276,13.58210074515544,0.1456162143489344,3.6159352969150578,0.09224533004104042,51,52021.29999999993
0.26,13.520646344232759,0.1561982586790712,4.8743383877278825,0.19561873370014313,52,53011.79999999993
0.244,13.545202618104469,0.15750549704218483,5.216122230744078,0.06339395793079841,53,54024.0
0.236,13.592127188645096,0.14817567598438314,5.075950394263169,0.12556494952711764,54,55023.29999999993
0.248,13.534852200685712,0.15359973368722787,4.947188251996818,0.11290427189451925,55,56028.5
0.252,13.52361366791168,0.1661638014181664,5.60173556464774,0.14455195638949744,56,57050.19999999995
0.248,13.53888040692933,0.16542502019941271,5.555338082154747,0.027764635356502768,57,58036.09999999998
0.248,13.495610078910936,0.15815245498927172,5.536478595590246,0.09999103990238085,58,59050.09999999998
